Indicator,Year,STATE,AGE,STD
Gonorrhea,2002,Connecticut,15-19,846
Gonorrhea,2003,Connecticut,0-14,32
Gonorrhea,2003,Connecticut,15-19,744
Gonorrhea,2004,Connecticut,0-14,51
Gonorrhea,2004,Connecticut,15-19,661
Gonorrhea,2005,Connecticut,0-14,30
Gonorrhea,2005,Connecticut,15-19,632
Gonorrhea,2006,Connecticut,0-14,29
Gonorrhea,2006,Connecticut,15-19,612
Gonorrhea,2007,Connecticut,0-14,33
Gonorrhea,2007,Connecticut,15-19,582
Gonorrhea,2008,Connecticut,0-14,28
Gonorrhea,2008,Connecticut,15-19,702
Gonorrhea,2009,Connecticut,0-14,22
Gonorrhea,2009,Connecticut,15-19,643
Gonorrhea,2010,Connecticut,0-14,18
Gonorrhea,2010,Connecticut,15-19,598
Gonorrhea,2011,Connecticut,0-14,19
Gonorrhea,2011,Connecticut,15-19,591
Gonorrhea,2012,Connecticut,0-14,25
Gonorrhea,2012,Connecticut,15-19,483
Gonorrhea,2013,Connecticut,0-14,21
Gonorrhea,2013,Connecticut,15-19,493
Gonorrhea,2014,Connecticut,0-14,16
Gonorrhea,2014,Connecticut,15-19,335
Gonorrhea,2015,Connecticut,0-14,6
Gonorrhea,2015,Connecticut,15-19,284
Gonorrhea,2016,Connecticut,0-14,12
Gonorrhea,2016,Connecticut,15-19,378
Gonorrhea,2017,Connecticut,0-14,28
Gonorrhea,2017,Connecticut,15-19,615
Gonorrhea,2018,Connecticut,0-14,35
Gonorrhea,2018,Connecticut,15-19,777
Gonorrhea,2019,Connecticut,0-14,25
Gonorrhea,2019,Connecticut,15-19,630
Gonorrhea,2020,Connecticut,0-14,32
Gonorrhea,2020,Connecticut,15-19,600
Gonorrhea,2021,Connecticut,0-14,23
Gonorrhea,2021,Connecticut,15-19,803
Primary and Secondary Syphilis,2000,Connecticut,0-14,0
Primary and Secondary Syphilis,2000,Connecticut,15-19,0
Primary and Secondary Syphilis,2001,Connecticut,0-14,0
Primary and Secondary Syphilis,2001,Connecticut,15-19,1
Primary and Secondary Syphilis,2002,Connecticut,0-14,0
Primary and Secondary Syphilis,2002,Connecticut,15-19,0
Primary and Secondary Syphilis,2003,Connecticut,0-14,0
Primary and Secondary Syphilis,2003,Connecticut,15-19,0
Primary and Secondary Syphilis,2004,Connecticut,0-14,0
Primary and Secondary Syphilis,2004,Connecticut,15-19,2
Primary and Secondary Syphilis,2005,Connecticut,0-14,0
Primary and Secondary Syphilis,2005,Connecticut,15-19,5
Primary and Secondary Syphilis,2006,Connecticut,0-14,0
Primary and Secondary Syphilis,2006,Connecticut,15-19,3
Primary and Secondary Syphilis,2007,Connecticut,0-14,0
Primary and Secondary Syphilis,2007,Connecticut,15-19,3
Primary and Secondary Syphilis,2008,Connecticut,0-14,0
Primary and Secondary Syphilis,2008,Connecticut,15-19,2
Primary and Secondary Syphilis,2009,Connecticut,0-14,0
Primary and Secondary Syphilis,2009,Connecticut,15-19,5
Primary and Secondary Syphilis,2010,Connecticut,0-14,0
Primary and Secondary Syphilis,2010,Connecticut,15-19,2
Primary and Secondary Syphilis,2011,Connecticut,0-14,0
Primary and Secondary Syphilis,2011,Connecticut,15-19,5
Primary and Secondary Syphilis,2012,Connecticut,0-14,0
Primary and Secondary Syphilis,2012,Connecticut,15-19,1
Primary and Secondary Syphilis,2013,Connecticut,0-14,0
Primary and Secondary Syphilis,2013,Connecticut,15-19,1
Primary and Secondary Syphilis,2014,Connecticut,0-14,0
Primary and Secondary Syphilis,2014,Connecticut,15-19,8
Primary and Secondary Syphilis,2015,Connecticut,0-14,0
Primary and Secondary Syphilis,2015,Connecticut,15-19,4
Primary and Secondary Syphilis,2016,Connecticut,0-14,0
Primary and Secondary Syphilis,2016,Connecticut,15-19,5
Primary and Secondary Syphilis,2017,Connecticut,0-14,1
Primary and Secondary Syphilis,2017,Connecticut,15-19,9
Primary and Secondary Syphilis,2018,Connecticut,0-14,0
Primary and Secondary Syphilis,2018,Connecticut,15-19,2
Primary and Secondary Syphilis,2019,Connecticut,0-14,2
Primary and Secondary Syphilis,2019,Connecticut,15-19,17
Primary and Secondary Syphilis,2020,Connecticut,0-14,0
Primary and Secondary Syphilis,2020,Connecticut,15-19,12
Primary and Secondary Syphilis,2021,Connecticut,0-14,1
Primary and Secondary Syphilis,2021,Connecticut,15-19,11
Chlamydia,2000,Delaware,0-14,88
Chlamydia,2000,Delaware,15-19,"1,301"
Chlamydia,2001,Delaware,0-14,85
Chlamydia,2001,Delaware,15-19,"1,213"
Chlamydia,2002,Delaware,0-14,86
Chlamydia,2002,Delaware,15-19,"1,244"
Chlamydia,2003,Delaware,0-14,84
Chlamydia,2003,Delaware,15-19,"1,212"
Chlamydia,2004,Delaware,0-14,53
Chlamydia,2004,Delaware,15-19,"1,214"
Chlamydia,2005,Delaware,0-14,66
Chlamydia,2005,Delaware,15-19,"1,315"
Chlamydia,2006,Delaware,0-14,49
Chlamydia,2006,Delaware,15-19,"1,370"
Chlamydia,2007,Delaware,0-14,38
Chlamydia,2007,Delaware,15-19,"1,235"
Chlamydia,2008,Delaware,0-14,44
Chlamydia,2008,Delaware,15-19,"1,393"
Chlamydia,2009,Delaware,0-14,57
Chlamydia,2009,Delaware,15-19,"1,648"
Chlamydia,2010,Delaware,0-14,47
Chlamydia,2010,Delaware,15-19,"1,609"
Chlamydia,2011,Delaware,0-14,51
Chlamydia,2011,Delaware,15-19,"1,561"
Chlamydia,2012,Delaware,0-14,45
Chlamydia,2012,Delaware,15-19,"1,294"
Chlamydia,2013,Delaware,0-14,34
Chlamydia,2013,Delaware,15-19,"1,535"
Chlamydia,2014,Delaware,0-14,37
Chlamydia,2014,Delaware,15-19,"1,198"
Chlamydia,2015,Delaware,0-14,47
Chlamydia,2015,Delaware,15-19,"1,271"
Chlamydia,2016,Delaware,0-14,55
Chlamydia,2016,Delaware,15-19,"1,574"
Chlamydia,2017,Delaware,0-14,40
Chlamydia,2017,Delaware,15-19,"1,609"
Chlamydia,2018,Delaware,0-14,49
Chlamydia,2018,Delaware,15-19,"1,667"
Chlamydia,2019,Delaware,0-14,66
Chlamydia,2019,Delaware,15-19,"1,744"
Chlamydia,2020,Delaware,0-14,35
Chlamydia,2020,Delaware,15-19,"1,321"
Chlamydia,2021,Delaware,0-14,49
Chlamydia,2021,Delaware,15-19,"1,351"
"Early Non-Primary, Non-Secondary Syphilis",2000,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2000,Delaware,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Delaware,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Delaware,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Delaware,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2004,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2004,Delaware,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2005,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2005,Delaware,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2006,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2006,Delaware,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2007,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2007,Delaware,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2008,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2008,Delaware,15-19,5
"Early Non-Primary, Non-Secondary Syphilis",2009,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2009,Delaware,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2010,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2010,Delaware,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2011,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2011,Delaware,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2012,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2012,Delaware,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2013,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2013,Delaware,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2014,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2014,Delaware,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2015,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Delaware,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2016,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Delaware,15-19,3
"Early Non-Primary, Non-Secondary Syphilis",2017,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Delaware,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2018,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Delaware,15-19,2
"Early Non-Primary, Non-Secondary Syphilis",2019,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Delaware,15-19,3
"Early Non-Primary, Non-Secondary Syphilis",2020,Delaware,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2020,Delaware,15-19,3
"Early Non-Primary, Non-Secondary Syphilis",2021,Delaware,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2021,Delaware,15-19,5
Gonorrhea,2000,Delaware,0-14,41
Gonorrhea,2000,Delaware,15-19,592
Gonorrhea,2001,Delaware,0-14,38
Gonorrhea,2001,Delaware,15-19,594
Gonorrhea,2002,Delaware,0-14,25
Gonorrhea,2002,Delaware,15-19,517
Gonorrhea,2003,Delaware,0-14,25
Gonorrhea,2003,Delaware,15-19,335
Gonorrhea,2004,Delaware,0-14,13
Gonorrhea,2004,Delaware,15-19,288
Gonorrhea,2005,Delaware,0-14,15
Gonorrhea,2005,Delaware,15-19,283
Gonorrhea,2006,Delaware,0-14,13
Gonorrhea,2006,Delaware,15-19,431
Gonorrhea,2007,Delaware,0-14,11
Gonorrhea,2007,Delaware,15-19,320
Gonorrhea,2008,Delaware,0-14,8
Gonorrhea,2008,Delaware,15-19,289
Gonorrhea,2009,Delaware,0-14,12
Gonorrhea,2009,Delaware,15-19,271
Gonorrhea,2010,Delaware,0-14,7
Gonorrhea,2010,Delaware,15-19,314
Gonorrhea,2011,Delaware,0-14,7
Gonorrhea,2011,Delaware,15-19,220
Gonorrhea,2012,Delaware,0-14,7
Gonorrhea,2012,Delaware,15-19,179
Gonorrhea,2013,Delaware,0-14,7
Gonorrhea,2013,Delaware,15-19,292
Gonorrhea,2014,Delaware,0-14,9
Gonorrhea,2014,Delaware,15-19,229
Gonorrhea,2015,Delaware,0-14,8
Gonorrhea,2015,Delaware,15-19,194
Gonorrhea,2016,Delaware,0-14,7
Gonorrhea,2016,Delaware,15-19,298
Gonorrhea,2017,Delaware,0-14,9
Gonorrhea,2017,Delaware,15-19,312
Gonorrhea,2018,Delaware,0-14,7
Gonorrhea,2018,Delaware,15-19,230
Gonorrhea,2019,Delaware,0-14,11
Gonorrhea,2019,Delaware,15-19,248
Gonorrhea,2020,Delaware,0-14,11
Gonorrhea,2020,Delaware,15-19,196
Gonorrhea,2021,Delaware,0-14,10
Gonorrhea,2021,Delaware,15-19,273
Primary and Secondary Syphilis,2000,Delaware,0-14,0
Primary and Secondary Syphilis,2000,Delaware,15-19,1
Primary and Secondary Syphilis,2001,Delaware,0-14,0
Primary and Secondary Syphilis,2001,Delaware,15-19,0
Primary and Secondary Syphilis,2002,Delaware,0-14,0
Primary and Secondary Syphilis,2002,Delaware,15-19,1
Primary and Secondary Syphilis,2003,Delaware,0-14,0
Primary and Secondary Syphilis,2003,Delaware,15-19,1
Primary and Secondary Syphilis,2004,Delaware,0-14,0
Primary and Secondary Syphilis,2004,Delaware,15-19,1
Primary and Secondary Syphilis,2005,Delaware,0-14,0
Primary and Secondary Syphilis,2005,Delaware,15-19,2
Primary and Secondary Syphilis,2006,Delaware,0-14,0
Primary and Secondary Syphilis,2006,Delaware,15-19,1
Primary and Secondary Syphilis,2007,Delaware,0-14,0
Primary and Secondary Syphilis,2007,Delaware,15-19,0
Primary and Secondary Syphilis,2008,Delaware,0-14,0
Primary and Secondary Syphilis,2008,Delaware,15-19,1
Primary and Secondary Syphilis,2009,Delaware,0-14,0
Primary and Secondary Syphilis,2009,Delaware,15-19,2
Primary and Secondary Syphilis,2010,Delaware,0-14,0
Primary and Secondary Syphilis,2010,Delaware,15-19,1
Primary and Secondary Syphilis,2011,Delaware,0-14,0
Primary and Secondary Syphilis,2011,Delaware,15-19,3
Primary and Secondary Syphilis,2012,Delaware,0-14,0
Primary and Secondary Syphilis,2012,Delaware,15-19,6
Primary and Secondary Syphilis,2013,Delaware,0-14,0
Primary and Secondary Syphilis,2013,Delaware,15-19,1
Primary and Secondary Syphilis,2014,Delaware,0-14,0
Primary and Secondary Syphilis,2014,Delaware,15-19,1
Primary and Secondary Syphilis,2015,Delaware,0-14,0
Primary and Secondary Syphilis,2015,Delaware,15-19,2
Primary and Secondary Syphilis,2016,Delaware,0-14,0
Primary and Secondary Syphilis,2016,Delaware,15-19,0
Primary and Secondary Syphilis,2017,Delaware,0-14,0
Primary and Secondary Syphilis,2017,Delaware,15-19,2
Primary and Secondary Syphilis,2018,Delaware,0-14,0
Primary and Secondary Syphilis,2018,Delaware,15-19,0
Primary and Secondary Syphilis,2019,Delaware,0-14,0
Primary and Secondary Syphilis,2019,Delaware,15-19,5
Primary and Secondary Syphilis,2020,Delaware,0-14,0
Primary and Secondary Syphilis,2020,Delaware,15-19,4
Primary and Secondary Syphilis,2021,Delaware,0-14,1
Primary and Secondary Syphilis,2021,Delaware,15-19,3
Chlamydia,2000,District of Columbia,0-14,116
Chlamydia,2000,District of Columbia,15-19,"1,180"
Chlamydia,2001,District of Columbia,0-14,126
Chlamydia,2001,District of Columbia,15-19,"1,200"
Chlamydia,2002,District of Columbia,0-14,98
Chlamydia,2002,District of Columbia,15-19,"1,166"
Chlamydia,2003,District of Columbia,0-14,129
Chlamydia,2003,District of Columbia,15-19,"1,172"
Chlamydia,2004,District of Columbia,0-14,119
Chlamydia,2004,District of Columbia,15-19,"1,266"
Chlamydia,2005,District of Columbia,0-14,121
Chlamydia,2005,District of Columbia,15-19,"1,347"
Chlamydia,2006,District of Columbia,0-14,76
Chlamydia,2006,District of Columbia,15-19,"1,243"
Chlamydia,2007,District of Columbia,0-14,117
Chlamydia,2007,District of Columbia,15-19,"2,197"
Chlamydia,2008,District of Columbia,0-14,153
Chlamydia,2008,District of Columbia,15-19,"2,705"
Chlamydia,2009,District of Columbia,0-14,132
Chlamydia,2009,District of Columbia,15-19,"2,604"
Chlamydia,2010,District of Columbia,0-14,109
Chlamydia,2010,District of Columbia,15-19,"2,351"
Chlamydia,2011,District of Columbia,0-14,146
Chlamydia,2011,District of Columbia,15-19,"2,564"
Chlamydia,2012,District of Columbia,0-14,137
Chlamydia,2012,District of Columbia,15-19,"2,401"
Chlamydia,2013,District of Columbia,0-14,128
Chlamydia,2013,District of Columbia,15-19,"1,941"
Chlamydia,2014,District of Columbia,0-14,113
Chlamydia,2014,District of Columbia,15-19,"1,514"
Chlamydia,2015,District of Columbia,0-14,134
Chlamydia,2015,District of Columbia,15-19,"1,962"
Chlamydia,2016,District of Columbia,0-14,97
Chlamydia,2016,District of Columbia,15-19,"1,580"
Chlamydia,2017,District of Columbia,0-14,89
Chlamydia,2017,District of Columbia,15-19,"1,916"
Chlamydia,2018,District of Columbia,0-14,97
Chlamydia,2018,District of Columbia,15-19,"2,038"
Chlamydia,2019,District of Columbia,0-14,98
Chlamydia,2019,District of Columbia,15-19,"2,156"
Chlamydia,2020,District of Columbia,0-14,48
Chlamydia,2020,District of Columbia,15-19,"1,330"
Chlamydia,2021,District of Columbia,0-14,49
Chlamydia,2021,District of Columbia,15-19,"1,287"
"Early Non-Primary, Non-Secondary Syphilis",2000,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2000,District of Columbia,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2001,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,District of Columbia,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2002,District of Columbia,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2003,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2003,District of Columbia,15-19,10
"Early Non-Primary, Non-Secondary Syphilis",2004,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2004,District of Columbia,15-19,8
"Early Non-Primary, Non-Secondary Syphilis",2005,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2005,District of Columbia,15-19,6
"Early Non-Primary, Non-Secondary Syphilis",2006,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2006,District of Columbia,15-19,7
"Early Non-Primary, Non-Secondary Syphilis",2007,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2007,District of Columbia,15-19,3
"Early Non-Primary, Non-Secondary Syphilis",2008,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2008,District of Columbia,15-19,1
"Early Non-Primary, Non-Secondary Syphilis",2009,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2009,District of Columbia,15-19,12
"Early Non-Primary, Non-Secondary Syphilis",2010,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2010,District of Columbia,15-19,11
"Early Non-Primary, Non-Secondary Syphilis",2011,District of Columbia,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2011,District of Columbia,15-19,16
"Early Non-Primary, Non-Secondary Syphilis",2012,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2012,District of Columbia,15-19,10
"Early Non-Primary, Non-Secondary Syphilis",2013,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2013,District of Columbia,15-19,17
"Early Non-Primary, Non-Secondary Syphilis",2014,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2014,District of Columbia,15-19,8
"Early Non-Primary, Non-Secondary Syphilis",2015,District of Columbia,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2015,District of Columbia,15-19,7
"Early Non-Primary, Non-Secondary Syphilis",2016,District of Columbia,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2016,District of Columbia,15-19,9
"Early Non-Primary, Non-Secondary Syphilis",2017,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2017,District of Columbia,15-19,4
"Early Non-Primary, Non-Secondary Syphilis",2018,District of Columbia,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2018,District of Columbia,15-19,6
"Early Non-Primary, Non-Secondary Syphilis",2019,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2019,District of Columbia,15-19,14
"Early Non-Primary, Non-Secondary Syphilis",2020,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2020,District of Columbia,15-19,9
"Early Non-Primary, Non-Secondary Syphilis",2021,District of Columbia,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2021,District of Columbia,15-19,2
Gonorrhea,2000,District of Columbia,0-14,69
Gonorrhea,2000,District of Columbia,15-19,688
Gonorrhea,2001,District of Columbia,0-14,67
Gonorrhea,2001,District of Columbia,15-19,688
Gonorrhea,2002,District of Columbia,0-14,53
Gonorrhea,2002,District of Columbia,15-19,596
Gonorrhea,2003,District of Columbia,0-14,65
Gonorrhea,2003,District of Columbia,15-19,641
Gonorrhea,2004,District of Columbia,0-14,69
Gonorrhea,2004,District of Columbia,15-19,656
Gonorrhea,2005,District of Columbia,0-14,36
Gonorrhea,2005,District of Columbia,15-19,568
Gonorrhea,2006,District of Columbia,0-14,32
Gonorrhea,2006,District of Columbia,15-19,498
Gonorrhea,2007,District of Columbia,0-14,36
Gonorrhea,2007,District of Columbia,15-19,642
Gonorrhea,2008,District of Columbia,0-14,60
Gonorrhea,2008,District of Columbia,15-19,881
Gonorrhea,2009,District of Columbia,0-14,39
Gonorrhea,2009,District of Columbia,15-19,870
Gonorrhea,2010,District of Columbia,0-14,41
Gonorrhea,2010,District of Columbia,15-19,743
Gonorrhea,2011,District of Columbia,0-14,50
Gonorrhea,2011,District of Columbia,15-19,825
Gonorrhea,2012,District of Columbia,0-14,47
Gonorrhea,2012,District of Columbia,15-19,658
Gonorrhea,2013,District of Columbia,0-14,38
Gonorrhea,2013,District of Columbia,15-19,540
Gonorrhea,2014,District of Columbia,0-14,39
Gonorrhea,2014,District of Columbia,15-19,442
Gonorrhea,2015,District of Columbia,0-14,37
Gonorrhea,2015,District of Columbia,15-19,450
Gonorrhea,2016,District of Columbia,0-14,24
Gonorrhea,2016,District of Columbia,15-19,437
Gonorrhea,2017,District of Columbia,0-14,42
Gonorrhea,2017,District of Columbia,15-19,623
Gonorrhea,2018,District of Columbia,0-14,36
Gonorrhea,2018,District of Columbia,15-19,519
Gonorrhea,2019,District of Columbia,0-14,32
Gonorrhea,2019,District of Columbia,15-19,584
Gonorrhea,2020,District of Columbia,0-14,18
Gonorrhea,2020,District of Columbia,15-19,455
Gonorrhea,2021,District of Columbia,0-14,15
Gonorrhea,2021,District of Columbia,15-19,430
Primary and Secondary Syphilis,2000,District of Columbia,0-14,0
Primary and Secondary Syphilis,2000,District of Columbia,15-19,1
Primary and Secondary Syphilis,2001,District of Columbia,0-14,3
Primary and Secondary Syphilis,2001,District of Columbia,15-19,1
Primary and Secondary Syphilis,2002,District of Columbia,0-14,0
Primary and Secondary Syphilis,2002,District of Columbia,15-19,2
Primary and Secondary Syphilis,2003,District of Columbia,0-14,0
Primary and Secondary Syphilis,2003,District of Columbia,15-19,2
Primary and Secondary Syphilis,2004,District of Columbia,0-14,0
Primary and Secondary Syphilis,2004,District of Columbia,15-19,1
Primary and Secondary Syphilis,2005,District of Columbia,0-14,0
Primary and Secondary Syphilis,2005,District of Columbia,15-19,7
Primary and Secondary Syphilis,2006,District of Columbia,0-14,0
Primary and Secondary Syphilis,2006,District of Columbia,15-19,6
Primary and Secondary Syphilis,2007,District of Columbia,0-14,0
Primary and Secondary Syphilis,2007,District of Columbia,15-19,8
Primary and Secondary Syphilis,2008,District of Columbia,0-14,0
Primary and Secondary Syphilis,2008,District of Columbia,15-19,7
Primary and Secondary Syphilis,2009,District of Columbia,0-14,0
Primary and Secondary Syphilis,2009,District of Columbia,15-19,10
Primary and Secondary Syphilis,2010,District of Columbia,0-14,0
Primary and Secondary Syphilis,2010,District of Columbia,15-19,7
Primary and Secondary Syphilis,2011,District of Columbia,0-14,0
Primary and Secondary Syphilis,2011,District of Columbia,15-19,9
Primary and Secondary Syphilis,2012,District of Columbia,0-14,0
Primary and Secondary Syphilis,2012,District of Columbia,15-19,7
Primary and Secondary Syphilis,2013,District of Columbia,0-14,0
Primary and Secondary Syphilis,2013,District of Columbia,15-19,2
Primary and Secondary Syphilis,2014,District of Columbia,0-14,0
Primary and Secondary Syphilis,2014,District of Columbia,15-19,5
Primary and Secondary Syphilis,2015,District of Columbia,0-14,1
Primary and Secondary Syphilis,2015,District of Columbia,15-19,5
Primary and Secondary Syphilis,2016,District of Columbia,0-14,0
Primary and Secondary Syphilis,2016,District of Columbia,15-19,3
Primary and Secondary Syphilis,2017,District of Columbia,0-14,0
Primary and Secondary Syphilis,2017,District of Columbia,15-19,11
Primary and Secondary Syphilis,2018,District of Columbia,0-14,0
Primary and Secondary Syphilis,2018,District of Columbia,15-19,9
Primary and Secondary Syphilis,2019,District of Columbia,0-14,0
Primary and Secondary Syphilis,2019,District of Columbia,15-19,11
Primary and Secondary Syphilis,2020,District of Columbia,0-14,0
Primary and Secondary Syphilis,2020,District of Columbia,15-19,7
Primary and Secondary Syphilis,2021,District of Columbia,0-14,0
Primary and Secondary Syphilis,2021,District of Columbia,15-19,10
Chlamydia,2000,Florida,0-14,788
Chlamydia,2000,Florida,15-19,"12,866"
Chlamydia,2001,Florida,0-14,774
Chlamydia,2001,Florida,15-19,"13,974"
Chlamydia,2002,Florida,0-14,781
Chlamydia,2002,Florida,15-19,"15,122"
Chlamydia,2003,Florida,0-14,732
Chlamydia,2003,Florida,15-19,"15,262"
Chlamydia,2004,Florida,0-14,674
Chlamydia,2004,Florida,15-19,"14,987"
Chlamydia,2005,Florida,0-14,613
Chlamydia,2005,Florida,15-19,"15,159"
Chlamydia,2006,Florida,0-14,673
Chlamydia,2006,Florida,15-19,"17,111"
Chlamydia,2007,Florida,0-14,681
Chlamydia,2007,Florida,15-19,"19,752"
Chlamydia,2008,Florida,0-14,811
Chlamydia,2008,Florida,15-19,"24,012"
Chlamydia,2009,Florida,0-14,813
Chlamydia,2009,Florida,15-19,"24,571"
Chlamydia,2010,Florida,0-14,742
Chlamydia,2010,Florida,15-19,"24,471"
Chlamydia,2011,Florida,0-14,734
Chlamydia,2011,Florida,15-19,"23,898"
Chlamydia,2012,Florida,0-14,674
Chlamydia,2012,Florida,15-19,"22,617"
Chlamydia,2013,Florida,0-14,617
Chlamydia,2013,Florida,15-19,"20,960"
Chlamydia,2014,Florida,0-14,630
Chlamydia,2014,Florida,15-19,"20,923"
Chlamydia,2015,Florida,0-14,595
Chlamydia,2015,Florida,15-19,"22,574"
Chlamydia,2016,Florida,0-14,597
Chlamydia,2016,Florida,15-19,"23,889"
Chlamydia,2017,Florida,0-14,620
Chlamydia,2017,Florida,15-19,"25,632"
Chlamydia,2018,Florida,0-14,628
Chlamydia,2018,Florida,15-19,"26,859"
Chlamydia,2019,Florida,0-14,660
Chlamydia,2019,Florida,15-19,"28,451"
Chlamydia,2020,Florida,0-14,631
Chlamydia,2020,Florida,15-19,"25,157"
Chlamydia,2021,Florida,0-14,684
Chlamydia,2021,Florida,15-19,"24,430"
"Early Non-Primary, Non-Secondary Syphilis",2000,Florida,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2000,Florida,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Florida,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2001,Florida,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Florida,0-14,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Florida,15-19,0
"Early Non-Primary, Non-Secondary Syphilis",2003,Florida,0-14,3
"Early Non-Primary, Non-Secondary Syphilis",2003,Florida,15-19,48
"Early Non-Primary, Non-Secondary Syphilis",2004,Florida,0-14,3
"Early Non-Primary, Non-Secondary Syphilis",2004,Florida,15-19,44
"Early Non-Primary, Non-Secondary Syphilis",2005,Florida,0-14,2
"Early Non-Primary, Non-Secondary Syphilis",2005,Florida,15-19,54
"Early Non-Primary, Non-Secondary Syphilis",2006,Florida,0-14,3
"Early Non-Primary, Non-Secondary Syphilis",2006,Florida,15-19,62
"Early Non-Primary, Non-Secondary Syphilis",2007,Florida,0-14,8
"Early Non-Primary, Non-Secondary Syphilis",2007,Florida,15-19,124
"Early Non-Primary, Non-Secondary Syphilis",2008,Florida,0-14,3
"Early Non-Primary, Non-Secondary Syphilis",2008,Florida,15-19,113
"Early Non-Primary, Non-Secondary Syphilis",2009,Florida,0-14,2
"Early Non-Primary, Non-Secondary Syphilis",2009,Florida,15-19,131
"Early Non-Primary, Non-Secondary Syphilis",2010,Florida,0-14,1
"Early Non-Primary, Non-Secondary Syphilis",2010,Florida,15-19,96
